kata,positif,negatif
jokowi,3,0
yes,1,0
world,1,0
must,1,0
know,1,0
what,1,0
happen,1,0
indonesian,1,0
election,1,0
kelakuan,0,1
pendukungnya,0,1
mewakili,0,1
didukungnya,0,1
bilang,0,1
saluuuud,1,0
buwat,1,0
militan,1,0
kmi,1,0
cuman,1,0
berdoa,1,0
bermunajat,1,0
semoga,2,1
gusti,1,0
melindungi,1,0
berjuang,2,1
kebenaranamiiiiinn,1,0
istri,0,1
danjen,0,1
gak,0,2
trima,0,1
chocolatos,0,1
diremes,0,1
kopasus,0,1
wkwkwk,1,0
nbusyet,1,0
dah,1,1
takuut,1,0
mendukung,2,1
tpf,5,2
penjahat,1,0
setuju,2,0
istiqomah,1,0
lagu,0,1
bos,0,1
kaya,0,1
way,0,1
masjid,1,0
resmikan,1,0
beliau,1,2
garis,1,0
budaya,1,0
sejarah,1,1
tlh,1,0
ratusan,1,0
rilis,1,0
ulama,1,0
salaf,1,0
nusantara,1,0
tempo,1,0
abad,2,0
nkami,2,0
bangga,1,0
dungudipropokasi,0,1
dibujuk,0,1
bungkus,0,1
nasi,0,1
padang,0,1
uang,1,1
trans,0,1
rp50000dipertarukan,0,1
nyawaapakah,0,1
manusiawi,0,1
nmengorbankan,0,1
utk,2,3
merebut,0,1
belajar,0,1
pemberontakan,0,1
diindonesia,0,1
hebat,0,1
thn,0,1
gagal,0,1
berakir,0,1
gabung,0,1
nkri,0,1
manusia,0,1
pendirian,0,1
ntar,0,1
lgi,0,1
stress,0,1
bodat,0,1
terimakasih,1,0
kebaikkan,1,0
luput,1,0
liputan,2,0
cetak,1,0
elektronik,1,0
hehe,1,0
ehhem,1,0
cieee,1,0
ciee,1,0
mas,1,0
bro,2,0
oalh,0,1
srul,0,2
tua,0,1
manas,0,1
manasi,0,1
suasana,0,1
kecewa,0,1
kemarin,0,1
pilih,0,1
demokrat,0,1
memaksakan,0,1
kehendak,0,1
hsl,0,3
ditolak,0,1
curangpoeple,0,1
powerbaiknya,0,1
jgn,0,1
tindakan,0,1
inkonstisional,0,1
hancur,0,1
punah,0,1
servey,0,1
kpusiapapun,0,1
terpilih,0,1
ditetapkan,0,1
napa,0,1
prosen,0,1
dijadikan,0,1
tumbal,0,1
dun,0,1
legowo,2,0
lepas,1,0
jabatan,1,0
lantas,1,0
mengganti,1,0
nya,2,2
panjenengan,1,0
nsementara,1,0
indonesia,3,0
sdh,1,1
memilih,1,0
npak,3,0
fikiran,1,0
nalar,1,0
sehat,1,0
kalo,1,0
kali,2,0
elo,1,0
lolos,1,0
anggota,1,0
dewan,1,0
mentweetpun,0,1
abuabu,0,1
segarang,0,1
kedoknya,0,1
tertutup,0,1
wilayah,2,0
dkppbila,1,0
kecurangan,5,2
polisi,2,0
pidana,1,0
muter,2,0
amin,3,0
barokallah,1,0
fik,1,0
bumi,1,0
pertiwi,1,0
tragedi,1,0
coba,0,2
dibuktikan,0,1
ngomong,0,1
napapun,1,0
hasilnya,1,0
perhitungan,1,0
terima,1,0
nitu,1,0
kesatria,1,0
nsdh,1,0
dicontohkan,1,0
btp,1,0
hormat,1,0
pemimpin,1,0
transparan,0,1
kecurangannya,0,1
lha,0,1
trus,0,1
kemaren,0,1
yaa,0,2
kesalahan,0,1
wayahe,0,2
mokel,0,1
blunder,1,0
ferdinand,1,0
ketakutan,1,0
mendefinisikan,1,0
fungsi,1,0
mengulur,1,0
wktu,1,0
bagus,2,0
amiiinnnn,1,0
kelamin,0,1
ganda,0,1
kyk,0,1
cacing,0,1
didalam,0,1
bertingkah,0,1
penjarakan,0,1
nmanusia,0,1
pengangguran,0,1
nhanya,0,1
rusuh,0,1
diceneralisasi,0,1
bohongmeligitimasi,0,1
adlh,0,1
trik,0,2
pembenaran,0,1
curangfakta,0,1
telak,0,1
kecuranganmrk,0,1
kehilangan,0,1
akal,0,2
sehatganti,0,1
liwat,0,1
pelpres,0,1
kalahskarang,0,1
kekerasan,0,1
win,2,0
solution,1,0
maksud,1,0
loh,1,0
grey,1,0
kerennnn,1,0
lanjutkan,1,0
semangat,1,0
tersenyum,1,0
baca,1,0
menduga,1,0
pernyataan,1,0
hasto,1,0
mencoba,1,0
mengadu,1,0
domba,1,0
partai,4,0
lokal,1,0
duduk,2,0
dpra,1,0
diisi,1,0
dimana,1,0
letak,1,0
menggembosi,1,0
lokalnya,1,0
slah,1,0
calon,1,0
menggunakn,1,0
lembaga,1,0
negara,1,0
kepala,1,0
daerah,1,0
menghallalkan,1,0
join,1,0
pemechan,1,0
jalan,1,0
terbaik,1,0
nbang,1,0
pideo,0,1
promosi,0,1
tujuan,1,0
ngusulin,1,0
pembentukan,1,0
menunda,1,0
pengumuman,1,0
pemenang,1,0
tgl,1,0
mei,1,0
mencari,1,0
celah,1,0
membalikkan,1,0
inkonstitusional,1,0
mengaku,0,1
pakai,0,2
alasan,0,1
ngeles,0,2
akar,0,1
rumput,0,1
rasional,0,1
anarkis,0,1
sutradara,1,0
rela,1,0
akalan,0,1
jkw,0,1
gabusah,0,1
denger,0,1
sakit,0,2
hati,0,2
baiknya,0,1
lerja,0,1
kerja,0,1
biarkan,1,1
persengkolan,1,0
parpol,2,0
mengalihkan,1,0
suara,1,1
mustahilhrsnya,1,0
detail,1,0
dikabkota,1,0
nkecamatan,1,0
desa,1,0
kampung,1,0
kecuranganbukan,1,0
marasi,1,0
dptdibuktikanjika,1,0
persengkokolandan,1,0
nyinyirlah,0,1
mengangkang,0,1
kandung,2,0
njika,1,0
perkosakita,1,0
durhaka,1,0
pemarah,0,1
mudah,0,1
stroke,0,1
salut,1,0
abang,1,1
medan,1,0
kenal,1,0
takut,1,0
hajar,1,0
pemerintah,1,0
nbukannya,0,1
ntu,0,1
tanah,0,1
leluhur,0,1
bpk,0,1
nyaqinlah,0,1
masyarakat,0,1
memahami,0,1
jasa,0,1
keluarga,0,1
kemaslahatan,0,1
umat,0,1
ukri,0,1
bocorkan,0,1
dipaksakan,0,1
tcoepnpr,0,1
2m9ku,0,1
sampeyan,0,1
jurrus,0,1
cawet,0,1
tweet,1,0
suaranya,0,1
kawan,0,1
mantap,1,0
dibawah,1,0
dikecamatan,1,0
dikawal,1,0
saksidikecamatan,1,0
direkap,1,0
disaksikan,1,0
pemilupanwaskecamatandst,1,0
dikab,1,0
kotaprovensi,1,0
saksi,2,0
parpolditingkat,1,0
ditkt,1,0
tpspasti,1,0
persengkolankppspanwas,1,0
total,1,0
orgmrk,1,0
diproses,1,0
huk,1,0
mung,1,0
netral,1,0
smnjak,1,0
masjidnya,1,0
yah,1,0
